City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
109,Basco,PH,clear sky,85.73,20.45,121.97,Nathaniel's Lodge
110,Kapaa,US,moderate rain,78.8,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
111,Bengkulu,ID,light rain,78.57,-3.8,102.27,Grage Hotel Bengkulu
112,Kodiak,US,clear sky,54.23,57.79,-152.41,Best Western Kodiak Inn and Convention Center
113,Hambantota,LK,scattered clouds,80.6,6.12,81.12,Bungalow 63
114,Mahebourg,MU,shower rain,69.8,-20.41,57.7,Shandrani Beachcomber Resort & Spa
115,Karratha,AU,clear sky,68.63,-20.74,116.85,ibis Styles Karratha
116,Los Llanos De Aridane,ES,few clouds,75.2,28.66,-17.92,Valle Aridane
117,Ribeira Grande,PT,few clouds,73.4,38.52,-28.7,Quinta da Meia Eira
118,Pindiga,NG,overcast clouds,79.74,9.98,10.93,Accommodation Center
119,Chokurdakh,RU,clear sky,45.12,70.63,147.92,
120,Grand Island,US,few clouds,78.8,40.92,-98.34,Fairfield Inn & Suites by Marriott Grand Island
121,Hervey Bay,AU,broken clouds,60.01,-25.3,152.85,Shelly Bay Resort
122,Longyearbyen,SJ,broken clouds,44.6,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
123,Iqaluit,CA,overcast clouds,37.4,63.75,-68.51,Frobisher Inn
124,Egvekinot,RU,overcast clouds,53.76,66.32,-179.17,
125,Santiago Del Estero,AR,scattered clouds,59.94,-27.8,-64.26,Hotel Urbano
126,Montevideo,UY,clear sky,51.8,-34.83,-56.17,Besares Social Club
127,George,ZA,few clouds,53.6,-33.96,22.46,Protea Hotel by Marriott George King George
128,Harboore,DK,scattered clouds,63.0,56.62,8.18,Harboøre Hotel
129,Sunland Park,US,few clouds,93.0,31.8,-106.58,SpringHill Suites by Marriott El Paso
130,Pochutla,MX,broken clouds,80.6,15.74,-96.47,Hotel Posada San Jose
131,Leningradskiy,RU,clear sky,38.48,69.38,178.42,
132,Ostrovnoy,RU,few clouds,63.84,68.05,39.51,
133,Hithadhoo,MV,clear sky,84.52,-0.6,73.08,Scoop Guest House
134,Tornio,FI,broken clouds,62.6,65.85,24.15,Park Hotel Tornio
135,Yellowknife,CA,broken clouds,68.0,62.46,-114.35,The Explorer Hotel
136,Bintulu,MY,scattered clouds,77.0,3.17,113.03,900 Boutique INN
137,Itoman,JP,few clouds,84.2,26.12,127.67,Southern Beach Hotel & Resort Okinawa
138,Trelew,AR,clear sky,44.82,-43.25,-65.31,Hotel Touring Club
139,Pontian Kecil,MY,few clouds,82.0,1.48,103.39,SUNFLOWER EXPRESS HOTEL
140,Jumla,NP,light rain,63.45,29.27,82.18,Hotel Sundar Rara Karnali
141,Victoria Point,AU,light rain,61.0,-27.58,153.3,Bay Retreat Motel
